Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Swiggy,Bengaluru,Food,600,0.1,1/19/2023 0:00,https://timesofindia.indiatimes.com/business/india-business/swiggy-likely-to-lay-off-up-to-10-of-employees-after-performance-review/articleshow/97140856.cms,3600,Unknown,1/20/2023 1:19,India,Unknown
WeWork ,New York City,Real Estate,300,,1/19/2023 0:00,https://investors.wework.com/news-and-events/press-releases/financial-releases-details/2023/WeWork-Announces-Date-of-Fourth-Quarter-and-Full-Year-2022-Results-Conference-Call/default.aspx,22200,IPO,1/19/2023 17:03,United States,Unknown
Hubilo,SF Bay Area,Other,115,0.35,1/19/2023 0:00,https://inc42.com/buzz/hubilo-fires-35-of-its-workforce-in-second-round-of-layoffs-within-6-months/,153,Series B,1/20/2023 1:03,United States,Unknown
Riot Games,Los Angeles,Consumer,46,,1/19/2023 0:00,https://www.eurogamer.net/riot-games-reportedly-making-layoffs,21,Acquired,1/20/2023 1:06,United States,Unknown
Fandom,SF Bay Area,Media,,,1/19/2023 0:00,https://variety.com/2023/digital/news/fandom-layoffs-giant-bomb-gamespot-metacritic-tv-guide-1235495258/,145,Series E,1/20/2023 1:21,United States,Unknown
Icertis,Seattle,Legal,,,1/19/2023 0:00,https://www.bizjournals.com/seattle/news/2023/01/19/icertis-layoffs-bellevue-unicorn-contract-software.html,521,Unknown,1/20/2023 4:50,United States,Unknown
Magnite,Los Angeles,Marketing,,0.06,1/19/2023 0:00,https://seekingalpha.com/news/3926164-magnite-slashes-jobs-by-6-globally-sec-filing,400,IPO,1/20/2023 4:46,United States,Unknown
Mudafy,Mexico City,Real Estate,,,1/19/2023 0:00,https://www.linkedin.com/feed/update/urn:li:activity:7021929020413902848/,13,Series A,1/20/2023 1:19,United States,Unknown
Personalis,SF Bay Area,Healthcare,,0.3,1/19/2023 0:00,https://www.genomeweb.com/business-news/personalis-lay-30-percent-workforce#.Y8nuFezMK8A,225,IPO,1/20/2023 1:28,United States,Unknown
Wallbox,Barcelona,Energy,,0.15,1/19/2023 0:00,https://investorplace.com/2023/01/wallbox-layoffs-2023-what-to-know-about-the-latest-wbx-job-cuts/,167,IPO,1/20/2023 1:22,Spain,Unknown
Microsoft,Seattle,Other,10000,0.05,1/18/2023 0:00,https://www.usatoday.com/story/money/2023/01/18/microsoft-layoffs-10000-employees-stock/11074235002/,1,IPO,1/18/2023 2:05,United States,Unknown
Sophos,Oxford,Security,450,0.1,1/18/2023 0:00,https://techcrunch.com/2023/01/18/sophos-global-layoffs/,125,Acquired,1/18/2023 16:00,United States,Unknown
Teladoc Health,New York City,Healthcare,300,0.06,1/18/2023 0:00,https://digitalhealth.modernhealthcare.com/finance/teladoc-health-layoffs-staff-cut-jason-gorevic,172,IPO,1/18/2023 19:49,United States,Unknown
Vroom,New York City,Transportation,275,0.2,1/18/2023 0:00,https://seekingalpha.com/news/3925618-vroom-slashes-workforce-by-20,1300,IPO,1/20/2023 1:00,United States,Unknown
8x8,SF Bay Area,Support,155,0.07,1/18/2023 0:00,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,253,IPO,1/18/2023 23:18,United States,Unknown
Benevity,Calgary,Other,137,0.14,1/18/2023 0:00,https://benevity.com/message-kelly-schmitt,69,Unknown,1/18/2023 19:52,United States,Unknown
Inspirato,Denver,Travel,109,0.12,1/18/2023 0:00,https://sports.yahoo.com/inspirato-announces-plan-streamline-operations-233000003.html,179,IPO,1/20/2023 1:07,United States,Unknown
Jumpcloud,Boulder,Security,100,0.12,1/18/2023 0:00,https://jumpcloud.com/blog/jumpcloud-restructuring,416,Series F,1/18/2023 22:01,United States,Unknown
nCino,Wilmington,Finance,100,0.07,1/18/2023 0:00,https://portcitydaily.com/local-news/2023/01/18/ncino-lays-off-7-of-workforce-cites-challenges-in-global-economy/,1100,IPO,1/19/2023 4:09,United States,Unknown
Starry,Boston,Other,100,0.24,1/18/2023 0:00,https://seekingalpha.com/news/3925492-starry-group-announces-24-job-cuts,260,IPO,1/18/2023 23:22,United States,https://docs.google.com/spreadsheets/d/1rmKxXAUxQpZN95iqtZaFj8P03sLUXDPfQmj_jqXHRuw/edit#gid=897722994
Hootsuite,Vancouver,Marketing,70,0.07,1/18/2023 0:00,https://www.theglobeandmail.com/business/article-hootsuite-replaces-ceo-announces-layoffs/,300,Series C,1/18/2023 19:54,Canada,Unknown
Addepar,SF Bay Area,Finance,20,0.03,1/18/2023 0:00,https://fortune.com/2023/01/17/addepar-a-wealth-management-startup-launched-by-the-co-founder-of-palantir-is-the-latest-fintech-to-cut-jobs/,491,Series F,1/18/2023 15:58,United States,Unknown
80 Acres Farms,Cincinnati,Food,,0.1,1/18/2023 0:00,https://www.bizjournals.com/cincinnati/inno/stories/news/2023/01/18/80-acres-cuts-jobs-tech-industry-job-loses.html,275,Unknown,1/19/2023 4:48,United States,Unknown
Aiven,Helsinki,Infrastructure,,0.2,1/18/2023 0:00,https://aiven.io/blog/a-message-from-our-ceo-oskari-saarenmaa,420,Series D,1/18/2023 16:01,Finland,https://docs.google.com/spreadsheets/u/3/d/e/2PACX-1vSZBSGZPopyiSBwH9jQd7pn3UzPjDQrGPFLmeoNEWNd89zr17PBUM_QPRPafoxnp9ARLuOdcZg_SLLM/pubhtml
Betterfly,Santiago,Healthcare,,0.3,1/18/2023 0:00,https://www.eleconomista.com.mx/sectorfinanciero/Betterfly-despide-al-30-de-sus-colaboradores-por-cambio-de-de-foco-y-crisis-economica-20230118-0056.html,204,Series C,1/20/2023 1:15,Chile,Unknown
Cazoo,London,Transportation,,,1/18/2023 0:00,https://sifted.eu/articles/cazoo-alex-chesterman-ceo-exit/,2000,IPO,1/19/2023 17:05,United Kingdom,Unknown
Clue,Berlin,Healthcare,,,1/18/2023 0:00,https://www.linkedin.com/posts/sottawa_as-of-today-we-reduced-our-team-at-clue-activity-7021505103878647808-xXD_/,47,Unknown,1/18/2023 19:56,Germany,Unknown
Cypress.io,Atlanta,Product,,,1/18/2023 0:00,https://www.linkedin.com/feed/update/urn:li:activity:7021582263465189376/,54,Series B,1/20/2023 1:04,United States,Unknown
Pagaya,New York City,Finance,,0.2,1/18/2023 0:00,https://www.reuters.com/business/finance/fintech-pagaya-lay-off-20-employees-2023-01-18/,571,IPO,1/18/2023 19:48,United States,Unknown
Redbubble,Melbourne,Retail,,0.14,1/18/2023 0:00,https://www.afr.com/companies/retail/redbubble-makes-14pc-of-staff-redundant-20230118-p5cdeh,55,IPO,1/18/2023 2:15,Australia,Unknown
Rappi,Buenos Aires,Food,400,,1/17/2023 0:00,https://www.bloomberglinea.com/2023/01/17/cambios-en-rappi-argentina-nuevas-ciudades-ascenso-y-reorganizacion-en-el-pais/,2300,Unknown,1/20/2023 1:09,Argentina,Unknown
